#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.20000000000000015,-37175.351244186226,-36225.26112052034,57.14907560696701
0.4000000000000003,-36422.078432699054,-34743.4365694632,100.97234816938527
0.6000000000000004,-35932.77382765271,-33695.33227799731,134.58482843085838
0.8000000000000006,-35407.61488774244,-32711.102611852926,162.19849053406006
1.0000000000000007,-35019.46311254479,-31902.681046069658,187.4782292022499
1.2000000000000008,-34695.33578400887,-31169.43914003219,212.08696824622135
1.400000000000001,-34480.34535256564,-30748.132126793033,224.49716138298598
1.6000000000000012,-34148.97158320085,-30296.68342589028,231.7198144450841
1.8000000000000014,-33923.87494419949,-29796.6864707043,248.25540255686914
2.0000000000000013,-33794.68515132542,-29431.74741933623,262.4360069672969
2.1999999999999793,-33724.841400847974,-29272.30408403391,267.82553088714576
2.3999999999999573,-33625.85751316024,-29110.58354829371,271.5992165129305
2.5999999999999353,-33261.01026866998,-28745.55076965451,271.6103766174737
2.7999999999999132,-33098.152469006716,-28541.19793144928,274.1063536157387
2.999999999999891,-33251.736459481006,-28468.386641215766,287.7243048942015
3.199999999999869,-33050.66421281465,-28387.01244968141,280.5243214059496
3.399999999999847,-33028.74226361571,-28261.781613060855,286.7384765382536
3.599999999999825,-33035.44921033821,-28161.209982476925,293.19141334159286
3.799999999999803,-32898.34826703157,-28026.389752690884,293.0542256515205
3.999999999999781,-32695.777962536697,-27879.26947749665,289.7188389992692
4.1999999999997595,-32800.7734571934,-27891.372421861743,295.30643879396627
4.3999999999997375,-32767.884369772597,-27974.115883561055,288.35100043324127
4.599999999999715,-32719.987074637116,-27976.429477107857,285.3307544564439
4.799999999999693,-32647.083603861684,-27806.625661842932,291.1594279429168
4.999999999999671,-32836.93325393196,-27952.262364435155,293.8188904668306
5.199999999999649,-32666.013073420327,-27963.324084702122,282.872457967809
5.399999999999627,-32841.83433673694,-27876.218071852112,298.6878531713743
5.599999999999605,-32987.019089106616,-28032.123642343708,298.04298293206057
5.799999999999583,-32680.27100682544,-27902.870163400716,287.3664668276054
5.999999999999561,-32583.785742916283,-27759.09085006651,290.21126137817197
6.199999999999539,-32678.62754968219,-27809.790401502425,292.86647168346616
6.399999999999517,-32757.490620763827,-27921.244530468102,290.9060799430073
6.599999999999495,-32716.700996931904,-27959.148321557586,286.1725753973949
6.799999999999473,-32562.969039559975,-27843.956653231435,283.8543301723071
6.999999999999451,-32612.783124085603,-27852.33885849695,286.34650806300954
7.199999999999429,-32723.212881721905,-27970.4448053682,285.8847759514614
7.399999999999407,-32653.635342096793,-27869.54703740857,287.76872575004506
7.599999999999385,-32642.835069851222,-27775.765025465953,292.7601782426214
7.799999999999363,-32338.213718368963,-27687.597197680094,279.74023573086214
7.999999999999341,-32750.23330464124,-27769.491206515144,299.5976904236428
8.199999999999408,-32666.01624405227,-27658.692334552587,301.1966186833092
8.399999999999475,-32671.825137875916,-27708.406086485076,298.5556881093821
8.599999999999541,-32707.688922228263,-27716.23221586176,300.2421871310367
8.799999999999608,-32677.353235536808,-27680.080319368833,300.5920392191815
8.999999999999675,-32602.925107245566,-27735.474111740128,292.7830929154791
9.199999999999742,-32669.75707560472,-27675.62546893509,300.4030856351436
9.399999999999809,-32509.836857057613,-27699.023107311194,289.37629375040234
9.599999999999875,-32598.426029480936,-27688.35713591933,295.34661127816275
9.799999999999942,-32810.097904480936,-27822.287988988624,300.0228282279173
10.000000000000009,-32730.809663324966,-27819.80360045412,295.402983151079
10.200000000000076,-32808.757149071695,-27787.855158376944,302.01335676897673
10.400000000000142,-32644.430036246835,-27799.428937624383,291.4327043340421
10.60000000000021,-32817.517236876476,-27916.108675535477,294.8256817699733
10.800000000000276,-32852.86350942723,-27760.99751063058,306.2819281006531
11.000000000000343,-32670.55836744714,-27709.106719153497,298.4373464220513
11.20000000000041,-32560.48024244714,-27518.961961726804,303.2534516695125
11.400000000000476,-32567.28426273883,-27498.180865826725,304.912729933334
11.600000000000543,-32376.581700879877,-27407.36500872721,298.9044232472248
11.80000000000061,-32624.15243350758,-27659.37921918821,298.63714265528165
12.000000000000677,-32548.612459337106,-27554.018059744267,300.4309231919185
12.200000000000744,-32308.06318483167,-27435.38205834842,293.0976916501044
12.40000000000081,-32322.066405559628,-27382.997621169052,297.09098995582326
12.600000000000877,-32281.317534429603,-27423.043577489094,292.2310828927124
12.800000000000944,-32545.19992642195,-27580.334298457456,298.6427014483483
13.00000000000101,-32430.32540957516,-27416.124581214302,301.61027371050176
13.200000000001078,-32233.533730872412,-27277.134610850102,298.13343070606555
13.400000000001144,-32291.51463985385,-27377.833513507503,295.5638914702024
13.600000000001211,-32223.876347699,-27384.28067700754,291.1075612746401
13.800000000001278,-32589.729169440776,-27461.21082643731,308.48661114921026
14.000000000001345,-32517.565106940776,-27469.798500695586,303.62929604357976
14.200000000001411,-32321.553308137605,-27437.219059703784,293.7986410977639
14.400000000001478,-32373.162603783712,-27394.43856898026,299.4763014621828
14.600000000001545,-32331.576373592194,-27505.20189858525,290.31229028616445
14.800000000001612,-32292.791831885203,-27414.380830367532,293.44235059708626
15.000000000001679,-32361.89657394981,-27403.6794981586,298.24278295497237
15.200000000001745,-32409.559400397702,-27408.374707553885,300.8273373403143
15.400000000001812,-32388.33017621233,-27437.121734997694,297.82120506742126
15.600000000001879,-32278.280234340433,-27271.11822117245,301.18688042220066
15.800000000001946,-32382.855614994245,-27421.18122587289,298.4507445535406
16.00000000000201,-32230.769825103023,-27344.47711319456,293.91644505593365
16.2000000000019,-32347.09633877527,-27127.67663562324,313.9544384368596
16.40000000000179,-32217.50099645884,-26999.647597839154,313.86022331566966
16.60000000000168,-32206.748102720565,-27189.22813036709,301.8099242554969
16.800000000001567,-32422.32190438299,-27311.510180518817,307.42153648868134
17.000000000001457,-32235.591538846667,-27288.593674381438,297.56793375872445
17.200000000001346,-32220.088409085147,-27285.53063020119,296.8196474922616
17.400000000001235,-32280.179483658343,-27192.07861444581,306.0554509803114
17.600000000001124,-32195.822955399315,-27203.818368087086,300.2751428357757
17.800000000001013,-32149.48404683714,-27073.748297934246,305.3116739660444
18.000000000000902,-32146.54207267583,-27057.981818854518,306.08308352283126
18.20000000000079,-32314.950421102316,-27145.485174817004,310.9496171454165
18.40000000000068,-32350.465066436154,-27230.01797719061,308.0011154264731
18.60000000000057,-32128.280856602796,-27096.70359196185,302.65548747076974
18.80000000000046,-32189.7912543868,-27196.81237720701,300.33374755538847
19.000000000000348,-32289.489020456705,-27346.7419150536,297.31224543508307
19.200000000000237,-32334.824623590597,-27360.48604116743,299.21251117175774
19.400000000000126,-32551.56176775435,-27350.93218451712,312.82418988787805
19.600000000000016,-32289.18676775435,-27422.495867618563,292.7373722552314
19.799999999999905,-32231.08771615202,-27403.70612497168,290.37286954796775
19.999999999999794,-32368.91584115202,-27409.468922376458,298.31675950514017
20.199999999999683,-32474.54451392236,-27456.103393082914,301.86533245642295
20.399999999999572,-32435.393679117376,-27549.225024013373,293.90898288837604
20.59999999999946,-32344.21714714539,-27450.4841220502,294.3639889365155
20.79999999999935,-32249.00393921518,-27409.718789382925,291.08888306757524
20.99999999999924,-32246.286866370385,-27445.38189443646,288.7802687225934
21.19999999999913,-32462.584817386058,-27471.99535730091,300.1900212132268
21.399999999999018,-32548.94330903914,-27426.122390684002,308.14390413238954
21.599999999998907,-32333.328283765644,-27404.52024002123,296.4737939358201
21.799999999998796,-32352.18027746945,-27302.975903783576,303.715779502492
21.999999999998685,-32186.54806835417,-27236.37982368868,297.758635980813
22.199999999998575,-32180.1326437314,-27113.370761537313,304.77188497734323
22.399999999998464,-32109.885341537098,-27115.496428863058,300.41856290401927
22.599999999998353,-32185.142032633215,-27181.368538827315,300.9830568644186
22.799999999998242,-32309.503382047376,-27298.816888455738,301.3988822030735
22.99999999999813,-32262.335591091163,-27250.112568137556,301.4913063115788
23.19999999999802,-32362.83009710716,-27217.253396024462,309.5126921191283
23.39999999999791,-32185.18010384991,-27178.635986706533,301.1497132253762
23.5999999999978,-32167.741714002797,-27266.12272972823,294.83833896515966
23.799999999997688,-32243.822594239347,-27257.912102762115,299.9085755649924
23.999999999997577,-32322.85322408873,-27339.649309723463,299.7457716623362
24.199999999997466,-32488.331218473177,-27352.671961852844,308.916145781797
24.399999999997355,-32263.989811864478,-27313.348642247525,297.7870829914012
24.599999999997245,-32464.118347733427,-27522.045298024692,297.2717001658699
24.799999999997134,-32282.661630383227,-27534.626853037626,285.60006226362634
24.999999999997023,-32518.352687067207,-27306.017035855766,313.5283241032063
25.199999999996912,-32387.015279869578,-27386.070087974455,300.8129310671788
25.3999999999968,-32402.23843561529,-27350.35617821358,303.876857462499
25.59999999999669,-32390.44489697236,-27372.802060335496,301.8173146914628
25.79999999999658,-32462.234407943964,-27446.150811442465,301.72352450233683
25.99999999999647,-32202.200271195557,-27352.445923950814,291.71861801541576
26.199999999996358,-32370.50735004444,-27331.681490343646,303.09149927301985
26.399999999996247,-32440.65609150444,-27402.71632794029,303.03819951350573
26.599999999996136,-32454.687240604922,-27349.27526380369,307.0967351403968
26.799999999996025,-32155.928051674127,-27295.802337917587,292.3424683156834
26.999999999995914,-32211.419078786945,-27173.313822868367,303.04815407975155
27.199999999995804,-32170.96773308731,-27284.453220335592,293.9297866462155
27.399999999995693,-32236.863720662222,-27238.33975687975,300.6672912536232
27.599999999995582,-32308.38350108682,-27179.835780114372,308.48837826974835
27.79999999999547,-32224.65387753499,-27153.659337750723,305.0264844754481
27.99999999999536,-32296.941548384202,-27251.052695825172,303.51634687727585
28.19999999999525,-31956.532169281447,-27265.974341468595,282.1427538960466
28.39999999999514,-32331.58342160075,-27238.719054428395,306.3419811717938
28.599999999995028,-32233.808434651786,-27308.555175701244,296.2599693102491
28.799999999994917,-32329.428365090687,-27230.01368773618,306.73599029000724
28.999999999994806,-32454.59229344831,-27264.924594344135,312.16481923502096
29.199999999994695,-32337.04982715918,-27364.031327948003,299.1331065622261
29.399999999994584,-32306.89115237852,-27271.03909147007,302.91262166152785
29.599999999994473,-32249.35208987852,-27176.447791589773,305.1413587704702
29.799999999994363,-32060.70365237852,-27170.275751608773,294.1651816915391
29.99999999999425,-32319.121962429257,-27165.93686517491,309.9703463955286
30.19999999999414,-32194.031166249217,-27194.227806579118,300.7442484711461
30.39999999999403,-32068.796862144285,-27127.25891069442,297.2395133552804
30.59999999999392,-32158.3234985031,-27117.777513684036,303.19496688939523
30.79999999999381,-32269.384937872645,-27264.282672137022,301.06298411088136
30.999999999993697,-32146.771601496934,-27231.78012281956,295.64271075541785
31.199999999993587,-32357.68520087909,-27164.77487425992,312.35986722089467
31.399999999993476,-32481.690627001197,-27318.67693185623,310.56154850359206
31.599999999993365,-32424.162036408263,-27389.771482339187,302.8247102489333
31.799999999993254,-32255.791074936744,-27302.243257349823,297.96192139931725
31.999999999993143,-32321.697231100552,-27381.280298138765,297.17208273082053
32.19999999999339,-32136.700825675885,-27159.061636442115,299.4110466827262
32.39999999999363,-32521.784182710835,-27382.013885050343,309.16342989661433
32.59999999999388,-32401.422242401168,-27443.252496080007,298.2399360298282
32.79999999999412,-32300.00996573936,-27341.70644033412,298.24798300432053
32.999999999994365,-32423.83769555454,-27538.212429369043,293.8762973845336
33.19999999999461,-32374.464855875092,-27504.439498743246,292.937943895994
33.399999999994854,-32546.96356221856,-27485.460778740555,304.4555437980558
33.5999999999951,-32590.911937764875,-27387.868525161903,312.9693846578152
33.79999999999534,-32480.69582117675,-27420.7735920744,304.3604715314725
33.99999999999559,-32481.772136860294,-27350.273211436113,308.66589680419315
34.19999999999583,-32345.908741737454,-27321.89095493706,302.2007756914368
34.399999999996076,-32368.012557620998,-27495.129152970272,293.10985892771174
34.59999999999632,-32402.94811094046,-27528.986850284564,293.17469327636826
34.799999999996565,-32439.14909019589,-27583.021416871226,292.1019813247867
34.99999999999681,-32393.89456788081,-27541.399265248358,291.8834898131385
35.199999999997054,-32450.306651553547,-27570.40365619777,293.532095839706
35.3999999999973,-32628.2417483975,-27665.758431494032,298.499402542745
35.59999999999754,-32588.754187333107,-27643.731891654723,297.44910089523717
35.79999999999779,-32680.444130132673,-27774.945459275274,295.07170682819793
35.99999999999803,-32717.758469984576,-27714.492804084613,300.9525103987004
36.199999999998276,-32745.097940139298,-27692.803524072107,303.90164930713445
36.39999999999852,-32709.19597770297,-27758.70095821866,297.77829188330287
36.599999999998765,-32599.148403475032,-27576.738784357876,302.1040424508432
36.79999999999901,-32528.50987482106,-27593.46712194977,296.8488192670007
36.999999999999254,-32377.281580065493,-27558.40126999782,289.8615071572198
37.1999999999995,-32362.819321192772,-27510.68773676266,291.861611721232
37.39999999999974,-32539.906272609747,-27591.187261562824,297.67146281736615
37.59999999999999,-32420.182689299778,-27656.57283245187,286.5369222244765
37.80000000000023,-32431.446564095415,-27584.263969698775,291.5639239560863
38.000000000000476,-32460.387393295154,-27414.525639631174,303.5147168458046
38.20000000000072,-32317.287715997372,-27280.416404070158,302.97393084902785
38.400000000000965,-32432.163325397443,-27367.10828455005,304.66921639597246
38.60000000000121,-32449.118694992125,-27398.226324728923,303.8173145480829
38.800000000001454,-32347.981925209635,-27380.670506606228,298.78981872771
39.0000000000017,-32415.5270176951,-27334.693687042425,305.61829970351334
39.20000000000194,-32098.575419037603,-27143.033186995424,298.08188785266316
39.40000000000219,-32372.337406652397,-27158.266170955612,313.63272161929933
39.60000000000243,-32233.798344152397,-27209.306360528222,302.2292992066904
39.800000000002676,-32158.769781514857,-26992.418993137166,310.7622787171939
40.00000000000292,-31913.341490901046,-26941.39989689176,299.0683294055425
40.200000000003165,-32107.695798678906,-26968.997594620683,309.09894216349545
40.40000000000341,-32126.200890972163,-27022.65140409104,306.9847041081713
40.600000000003654,-32288.601361341513,-27088.276135728433,312.80588240689207
